Scheme_Name	Asset_Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW	108.0297
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW	117.5059
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW	105.1883
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW	151.6667
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW	113.2433
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW	103.0786
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW	113.2042
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW	104.2058
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth	369.2468
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth	554.2896
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth	383.4428
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option	1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW	1037.6254
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option	2743.6144
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW	1033.0876
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW	1036.8089
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option	1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW	1037.4172
Axis Banking & PSU Debt Fund - Regular Plan - Growth option	2659.3825
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	1033.0308
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW	1036.5915
Bajaj Finserv Banking and PSU Fund-  Direct Plan-Monthly- IDCW	10.9648
Bajaj Finserv Banking and PSU Fund- Direct Plan- IDCW	11.6003
Bajaj Finserv Banking and PSU Fund- Regular Plan- Growth	11.4862
Bajaj Finserv Banking and PSU Fund- Regular Plan- IDCW	11.4862
Bajaj Finserv Banking and PSU Fund-Direct Plan- Growth	11.6003
Bajaj Finserv Banking and PSU Fund-Regular Plan-Monthly-IDCW	10.8946
Bandhan Banking and PSU Fund - Direct Annual IDCW	12.4212
Bandhan Banking and PSU Fund - Direct Daily IDCW	10.4576
Bandhan Banking and PSU Fund - Direct Fortnightly IDCW	10.4536
Bandhan Banking and PSU Fund - Direct Growth	25.5328
Bandhan Banking and PSU Fund - Direct IDCW	13.4309
Bandhan Banking and PSU Fund - Direct Monthly IDCW	10.4158
Bandhan Banking and PSU Fund - Direct Quarterly IDCW	10.9487
Bandhan Banking and PSU Fund - Regular Annual IDCW	11.4230
Bandhan Banking and PSU Fund - Regular Daily IDCW	10.8564
Bandhan Banking and PSU Fund - Regular Fortnightly IDCW	10.6055
Bandhan Banking and PSU Fund - Regular Growth	24.7969
Bandhan Banking and PSU Fund - Regular IDCW	13.3902
Bandhan Banking and PSU Fund - Regular Monthly IDCW	10.6594
Bandhan Banking and PSU Fund - Regular Quarterly IDCW	10.8449
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option	10.4128
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option	13.0236
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option	10.5681
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option	12.7320
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option	10.2396
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option	10.3472
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option	12.2612
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout	10.8023
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option	12.1504
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment)	10.7188
DSP Banking & PSU Debt Fund - Direct Plan - Growth	25.0599
DSP Banking & PSU Debt Fund - Direct Plan - IDCW	10.5682
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest	10.1353
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly	10.3526
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly	10.4078
